Barris	Nacionalitat	Total	Genere
la Sagrada Familia	Ucraïna	49	Home
la Dreta del Eixample	Ucraïna	41	Home
l Antiga Esquerra del Eixample	Ucraïna	30	Home
la Nova Esquerra del Eixample	Ucraïna	33	Home
Sant Antoni	Ucraïna	28	Home
el Poble Sec- A E I Parc Montjuïc	Ucraïna	34	Home
la Marina del Prat Vermell- A E I Zona Franca	Ucraïna	1	Home
la Marina de Port	Ucraïna	37	Home
la Font de la Guatlla	Ucraïna	18	Home
Hostafrancs	Ucraïna	23	Home
la Bordeta	Ucraïna	7	Home
Sants- Badal	Ucraïna	34	Home
Sants	Ucraïna	45	Home
les Corts	Ucraïna	26	Home
la Maternitat i Sant Ramon	Ucraïna	30	Home
Pedralbes	Ucraïna	16	Home
Vallvidrerael Tibidabo i les Planes	Ucraïna	1	Home
Sarria	Ucraïna	32	Home
les Tres Torres	Ucraïna	5	Home
Sant Gervasi-la Bonanova	Ucraïna	12	Home
Sant Gervasi- Galvany	Ucraïna	30	Home
el Putxet i el Farro	Ucraïna	11	Home
Vallcarca i els Penitents	Ucraïna	21	Home
el Coll	Ucraïna	7	Home
la Salut	Ucraïna	5	Home
la Vila de Gracia	Ucraïna	32	Home
el Campden Grassot i Gracia Nova	Ucraïna	17	Home
el Baix Guinardo	Ucraïna	14	Home
Can Baro	Ucraïna	11	Home
el Guinardo	Ucraïna	45	Home
la Font d en Fargues	Ucraïna	4	Home
el Carmel	Ucraïna	55	Home
la Teixonera	Ucraïna	27	Home
Sant Genis dels Agudells	Ucraïna	21	Home
Montbau	Ucraïna	10	Home
la Vall d Hebron	Ucraïna	10	Home
la Clota	Ucraïna	0	Home
Horta	Ucraïna	49	Home
Vilapicina i la Torre Llobeta	Ucraïna	47	Home
Porta	Ucraïna	38	Home
el Turo de la Peira	Ucraïna	35	Home
Can Peguera	Ucraïna	3	Home
la Guineueta	Ucraïna	27	Home
Canyelles	Ucraïna	10	Home
les Roquetes	Ucraïna	55	Home
Verdun	Ucraïna	36	Home
la Prosperitat	Ucraïna	46	Home
la Trinitat Nova	Ucraïna	29	Home
Torre Baro	Ucraïna	0	Home
Ciutat Meridiana	Ucraïna	34	Home
Vallbona	Ucraïna	7	Home
la Trinitat Vella	Ucraïna	29	Home
Baro de Viver	Ucraïna	1	Home
el Bon Pastor	Ucraïna	32	Home
Sant Andreu	Ucraïna	51	Home
la Sagrera	Ucraïna	37	Home
el Congres i els Indians	Ucraïna	26	Home
Navas	Ucraïna	33	Home
el Camp del Arpa del Clot	Ucraïna	47	Home
el Clot	Ucraïna	39	Home
el Parcila Llacuna del Poblenou	Ucraïna	20	Home
la Vila Olimpica del Poblenou	Ucraïna	14	Home
el Poblenou	Ucraïna	49	Home
Diagonal Mariel Front Maritim del Poblenou	Ucraïna	34	Home
el Besos i el Maresme	Ucraïna	139	Home
Provençals del Poblenou	Ucraïna	45	Home
Sant Marti de Provençals	Ucraïna	55	Home
la Verneda i la Pau	Ucraïna	64	Home
el Raval	PaïsosBaixos	98	Home
el Barri Gotic	PaïsosBaixos	90	Home
la Barceloneta	PaïsosBaixos	59	Home
Sant Pere Santa Caterina i la Ribera	PaïsosBaixos	115	Home
el Fort Pienc	PaïsosBaixos	48	Home
la Sagrada Familia	PaïsosBaixos	57	Home
la Dreta del Eixample	PaïsosBaixos	126	Home
l Antiga Esquerra del Eixample	PaïsosBaixos	81	Home
la Nova Esquerra del Eixample	PaïsosBaixos	55	Home
Sant Antoni	PaïsosBaixos	52	Home
el Poble Sec- A E I Parc Montjuïc	PaïsosBaixos	54	Home
la Marina del Prat Vermell- A E I Zona Franca	PaïsosBaixos	0	Home
la Marina de Port	PaïsosBaixos	6	Home
la Font de la Guatlla	PaïsosBaixos	9	Home
Hostafrancs	PaïsosBaixos	15	Home
la Bordeta	PaïsosBaixos	12	Home
Sants- Badal	PaïsosBaixos	12	Home
Sants	PaïsosBaixos	33	Home
les Corts	PaïsosBaixos	25	Home
